  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   977     1   0 22 825  ??         4:30.37 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  501   978     1   0 22 825  ??         1:39.21 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  501   979     1   0 22 825  ??         2:30.50 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  501   980     1   0 22 825  ??         0:03.33 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  501   981     1   0 22 825  ??         0:52.94 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   982     1   0 22 825  ??         0:00.05 /System/Library/Frameworks/FamilyControls.framework/Versions/A/FamilyControlsAgent
  501   983     1   0 22 825  ??         0:04.43 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
  501   984     1   0 22 825  ??         8:03.79 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  501   985     1   0 22 825  ??         5:37.58 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
  501   986     1   0 22 825  ??         3:29.39 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  501   987     1   0 22 825  ??         0:04.43 /usr/libexec/appleaccountd
  501   989     1   0 22 825  ??         0:03.61 /usr/libexec/findmylocateagent
  501   991     1   0 22 825  ??         0:03.37 /System/Library/CoreServices/sharedfilelistd
  501   992     1   0 22 825  ??         0:28.18 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  501   993     1   0 22 825  ??         0:01.12 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  501   994     1   0 22 825  ??         0:02.45 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  501   997     1   0 22 825  ??         0:02.62 /System/Library/CoreServices/ScopedBookmarkAgent
  501   998     1   0 22 825  ??         0:01.70 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  501   999     1   0 22 825  ??         0:00.16 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  501  1000     1   0 22 825  ??         0:09.23 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  501  1002     1   0 22 825  ??         0:01.25 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
    0  1003     1   0 22 825  ??         0:04.81 /usr/libexec/mobileactivationd
    0  1004     1   0 22 825  ??         0:14.22 /usr/sbin/filecoordinationd
  501  1005     1   0 22 825  ??         0:37.28 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  501  1006     1   0 22 825  ??         0:11.78 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  259  1007     1   0 22 825  ??         0:00.16 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  501  1008     1   0 22 825  ??         0:11.42 /usr/libexec/pkd
  501  1009     1   0 22 825  ??         0:05.49 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  501  1010     1   0 22 825  ??         2:05.45 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
